999,Seville Spain,,1,37.377,-5.926,  21
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,14.4,E,8,11.5,E,8,83,E,8,1010,E,8,263,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.074,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.9,E,8,9.0,E,8,72,E,8,1010,E,8,252,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.748,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.4,E,8,9.1,E,8,75,E,8,1010,E,8,249,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.758,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,13.1,E,8,9.2,E,8,77,E,8,1010,E,8,265,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.767,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,12.9,E,8,9.0,E,8,77,E,8,1010,E,8,263,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.736,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,12.6,E,8,8.8,E,8,77,E,8,1010,E,8,252,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.712,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,5,E,8,12.4,E,8,9.0,E,8,80,E,8,1010,E,8,276,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.746,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,6,E,8,6,E,8,12.2,E,8,9.8,E,8,85,E,8,1010,E,8,237,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.838,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,5,199,0,3,10,0,3,20,0,3,10,65,3,10,11,3,20,65,3,10,-9990,0,0,6,E,8,6,E,8,12.2,E,8,9.8,E,8,85,E,8,1010,E,8,259,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.840,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,193,1412,76,3,10,179,3,20,52,3,10,8108,3,10,10063,3,20,6729,3,10,-9990,0,0,6,E,8,6,E,8,13.5,E,8,10.2,E,8,80,E,8,1010,E,8,298,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.892,E,8,0.109,E,8,0.20,E,8,0,-9990,0,0
